"time","x_acc","y_acc","z_acc"
"3.209","0.08162935867756604","-0.10285071814358233","-0.01969429602921009"
"3.225","0.02959359435616061","-0.11242109504342078","0.16667115614712238"
"3.242","0.026380495794862506","-0.10447101282179355","0.22143092033863065"
"3.259","0.015387831006944179","-0.06859831992983817","0.382025971442461"
"3.275","-0.02144817222552374","0.043433483535051345","0.3995212961226702"
"3.292","-0.007811550533771514","0.09087444914579391","0.3423351815670728"
"3.309","-0.03213789027780294","0.15746201377511024","0.12664309714138508"
"3.325","-0.06536445257514714","0.08041735253930091","-0.09879004457592963"
"3.342","-0.051139089476317165","0.016250293055176734","-0.269510183852911"
"3.359","-0.031776801880449054","-0.04095452620089054","-0.29372926383018494"
"3.375","-0.02480203096438199","-0.11252864707112312","-0.21979776617884636"
"3.392","-0.04965619397480041","-0.12131225750744343","-0.1257838499635458"
"3.408","-0.0889307677321136","-0.10035656324028969","-0.16525719769597053"
"3.425","-0.0580826250039041","-0.005516717594861984","-0.2519768652498722"
"3.442","0.01555748848542571","0.02871463783085346","-0.271496389234066"
"3.459","0.0054506666213274","0.004517185163497924","-0.28436873028874393"
"3.475","0.0371885977961123","-0.06320026027858257","-0.29966099196672435"
"3.492","0.044806817714869975","-0.2241962933987379","-0.24486089576482772"
"3.509","0.056916796094924206","-0.25660627861618995","-0.16734744797348974"
"3.525","0.020088848304748535","-0.2249585099428892","0.005535422295331955"
"3.542","-0.006148476159758866","-0.11776070250570773","0.15293021556437014"
"3.559","0.0261455179952085","-0.07184650807082653","0.2203916404187679"
"3.575","0.09472147996276617","-0.039861470267176624","-0.035168344014883036"
"3.592","0.15206205442771314","-0.04532850350141525","-0.5275304209202528"
"3.609","0.16162494214083997","-0.07813596360385418","-0.7232447162002325"
"3.625","0.040579409278184174","-0.20364099662601948","-1.272775372004509"
"3.642","0.033614648299477995","-0.16930676534771918","-1.5831477275997399"
"3.659","-0.012526486759074031","-0.1293611239284277","-1.5984458344966173"
"3.675","0.019866437725722788","-0.03182721689343452","-1.2893453985333443"
"3.692","-0.041175037083774804","-0.0511953497081995","-0.5579021783083677"
"3.709","-0.04591492508724332","0.006421557480096817","-0.18899813876748084"
"3.725","-0.04592692605229094","0.08191080596745014","0.5714724384993315"
"3.742","-0.019589374350011346","0.11698036578297615","1.1709785468280314"
"3.759","-0.005900894606858492","0.14842062918543814","1.3617699987530707"
"3.775","-0.009178454972803592","0.2470657123327255","1.642145275491476"
"3.792","0.03348872036486864","0.35734862630367276","1.7264572973817587"
"3.809","0.025379492925619706","0.31871699009239673","1.7308645924299955"
"3.825","-0.024532246712828054","0.30845103214383124","1.5376877066731451"
"3.842","-0.03240530904233455","0.3270563638925552","0.9429390220046043"
"3.859","-0.048404988337308164","0.19197686231732367","0.4991349320411682"
"3.875","-0.05264279030384496","0.10509294411242008","0.33506957447826863"
